<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.28	01:05:00	42308.51	42312.51	42305.51	42305.51	28	0	278
2025.03.28	01:06:00	42306.01	42308.51	42301.51	42302.01	23	0	278
2025.03.28	01:07:00	42303.51	42303.51	42297.01	42299.01	22	0	278
2025.03.28	01:08:00	42298.51	42299.01	42294.01	42294.01	13	0	278
2025.03.28	01:09:00	42294.01	42294.01	42289.01	42290.01	29	0	278
2025.03.28	01:10:00	42286.01	42288.51	42285.01	42287.01	26	0	278
2025.03.28	01:11:00	42288.01	42296.51	42286.51	42294.51	44	0	278
2025.03.28	01:12:00	42295.01	42295.01	42289.01	42292.01	27	0	278
2025.03.28	01:13:00	42292.01	42292.01	42290.51	42291.11	5	0	268
2025.03.28	01:14:00	42291.11	42293.11	42290.61	42292.61	16	0	268
2025.03.28	01:15:00	42292.11	42293.61	42288.61	42289.11	21	0	258
2025.03.28	01:16:00	42290.11	42291.11	42288.11	42290.11	13	0	258
2025.03.28	01:17:00	42290.21	42296.11	42287.11	42295.61	25	0	248
2025.03.28	01:18:00	42296.11	42299.11	42294.61	42299.11	20	0	258
2025.03.28	01:19:00	42300.11	42302.11	42298.61	42299.11	16	0	268
2025.03.28	01:20:00	42298.11	42300.11	42297.11	42298.11	17	0	258
2025.03.28	01:21:00	42297.11	42298.11	42297.11	42298.11	3	0	258
2025.03.28	01:22:00	42297.11	42304.11	42296.11	42304.11	20	0	258
2025.03.28	01:23:00	42302.61	42303.11	42298.61	42302.11	25	0	258
2025.03.28	01:24:00	42303.11	42305.61	42302.61	42303.11	18	0	258
2025.03.28	01:25:00	42303.11	42304.11	42301.11	42301.11	12	0	258
2025.03.28	01:26:00	42301.11	42309.81	42301.11	42309.81	8	0	258
2025.03.28	01:27:00	42309.81	42311.21	42308.81	42310.71	14	0	268
2025.03.28	01:28:00	42311.21	42312.81	42308.31	42308.31	22	0	268
2025.03.28	01:29:00	42307.81	42308.81	42305.31	42305.81	14	0	268
2025.03.28	01:30:00	42305.81	42310.31	42305.81	42310.31	10	0	268
2025.03.28	01:31:00	42309.81	42310.31	42303.81	42304.31	20	0	268
2025.03.28	01:32:00	42304.81	42309.81	42304.81	42308.81	13	0	268
2025.03.28	01:33:00	42310.31	42311.81	42308.31	42311.31	18	0	268
2025.03.28	01:34:00	42311.31	42312.81	42308.31	42308.31	13	0	268
2025.03.28	01:35:00	42307.81	42313.31	42306.31	42311.31	15	0	268
2025.03.28	01:36:00	42311.31	42315.31	42311.31	42311.81	10	0	268
2025.03.28	01:37:00	42311.81	42314.31	42311.31	42313.81	11	0	268
2025.03.28	01:38:00	42313.81	42317.31	42312.81	42316.31	16	0	258
2025.03.28	01:39:00	42316.81	42316.81	42315.81	42316.81	6	0	258
2025.03.28	01:40:00	42316.81	42316.81	42313.31	42313.81	7	0	258
2025.03.28	01:41:00	42314.81	42315.31	42313.41	42313.41	17	0	248
2025.03.28	01:42:00	42313.41	42316.41	42312.91	42316.41	9	0	248
2025.03.28	01:43:00	42316.91	42316.91	42313.91	42314.91	8	0	248
2025.03.28	01:44:00	42312.91	42314.91	42312.91	42314.91	8	0	248
2025.03.28	01:45:00	42313.41	42314.41	42312.91	42312.91	4	0	248
2025.03.28	01:46:00	42312.91	42312.91	42308.91	42312.41	14	0	248
2025.03.28	01:47:00	42312.91	42314.91	42312.91	42313.31	21	0	248
2025.03.28	01:48:00	42313.41	42314.91	42313.31	42314.91	16	0	248
2025.03.28	01:49:00	42314.41	42314.41	42307.81	42308.81	13	0	248
2025.03.28	01:50:00	42309.31	42311.31	42308.31	42310.81	12	0	258
2025.03.28	01:51:00	42309.81	42309.81	42305.81	42309.31	10	0	258
2025.03.28	01:52:00	42308.81	42308.81	42304.81	42306.31	13	0	258
2025.03.28	01:53:00	42305.81	42308.31	42304.81	42306.31	17	0	258
2025.03.28	01:54:00	42306.81	42307.31	42300.81	42300.81	17	0	248
2025.03.28	01:55:00	42300.31	42302.31	42298.81	42298.81	14	0	258
2025.03.28	01:56:00	42300.31	42300.31	42294.81	42296.81	22	0	258
2025.03.28	01:57:00	42296.81	42297.81	42295.31	42295.31	8	0	258
2025.03.28	01:58:00	42295.81	42296.81	42295.81	42296.81	7	0	258
2025.03.28	01:59:00	42297.31	42299.81	42293.91	42293.91	21	0	248
2025.03.28	02:00:00	42293.91	42304.81	42293.91	42298.21	43	0	248
2025.03.28	02:01:00	42298.71	42298.71	42293.21	42294.21	19	0	278
2025.03.28	02:02:00	42293.71	42295.21	42291.21	42293.21	23	0	278
2025.03.28	02:03:00	42294.21	42294.21	42278.21	42283.71	42	0	278
2025.03.28	02:04:00	42283.21	42283.21	42272.71	42276.21	56	0	278
2025.03.28	02:05:00	42277.71	42277.71	42262.71	42262.71	53	0	278
2025.03.28	02:06:00	42257.71	42273.71	42254.71	42271.21	51	0	278
2025.03.28	02:07:00	42269.21	42269.71	42262.21	42265.71	42	0	278
